Sr.,"Company Name","Company Code","Customer Name","Customer Code",Date,"PO Reference","Btire Order No.","SAP Order No.",Status,"SKU No.",Brand,"Product Description",Qty,Price,"Total Value"
1,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2026-04-02 10:15:57",,BT00028641,,pending,PSR0LE83-2025,Bridgestone,"Bridgestone 215/55 R16 93V Turanza T005 2025",1.0000,486,486.0000
2,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2026-04-02 10:03:14",,BT00028640,,approval_pending,PSR15717-2025,Bridgestone,"Bridgestone 295/35 R21 107Y Alenza 001 2025",1.0000,705,705.0000
3,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2026-04-02 09:58:07",,BT00028639,,approval_pending,PSR0G347-2025,Bridgestone,"Bridgestone 315/35 R21 111Y Dueler H/P Sport N0 2025",1.0000,1712,1712.0000
4,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2026-04-02 09:58:07",,BT00028639,,approval_pending,PSR0G366-2025,Bridgestone,"Bridgestone 265/45 R21 108H Alenza 001 AO 2025",1.0000,1435,1435.0000
5,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2026-03-31 10:49:07",,BT00028638,,approval_pending,PSR0G366-2025,Bridgestone,"Bridgestone 265/45 R21 108H Alenza 001 AO 2025",1.0000,988,988.0000
6,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2026-03-31 10:31:18",,BT00028637,,approval_pending,PSR16978-2025,Bridgestone,"Bridgestone 235/50 R21 101W 2025",1.0000,1032,1032.0000
7,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2026-03-31 10:23:22","{""107250"":[""""]}",BT00028636,,approval_pending,PSR16978-2025,Bridgestone,"Bridgestone 235/50 R21 101W 2025",2.0000,1032,2064.0000
8,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2026-03-31 10:23:22","{""107250"":[""""]}",BT00028636,,approval_pending,XRIMMAX6-2025,Maxxion,"Maxxion R 17.5X06.0/186044 013 81 SILVER WHEEL 2025",1.0000,348.5,348.5000
9,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2026-03-31 10:22:54",,BT00028635,,approval_pending,XRIMMAX6-2025,Maxxion,"Maxxion R 17.5X06.0/186044 013 81 SILVER WHEEL 2025",1.0000,348.5,348.5000
10,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2026-03-31 10:22:53",,BT00028634,,approval_pending,PSR16978-2025,Bridgestone,"Bridgestone 235/50 R21 101W 2025",2.0000,1032,2064.0000
11,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2026-03-31 10:11:41",,BT00028633,,approval_pending,PSR0G347-2025,Bridgestone,"Bridgestone 315/35 R21 111Y Dueler H/P Sport N0 2025",1.0000,1712,1712.0000
12,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2026-03-31 10:11:41",,BT00028633,,approval_pending,PSR0G366-2025,Bridgestone,"Bridgestone 265/45 R21 108H Alenza 001 AO 2025",1.0000,1435,1435.0000
13,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2026-03-30 11:39:44",,BT00028632,,approval_pending,PSR0G366-2025,Bridgestone,"Bridgestone 265/45 R21 108H Alenza 001 AO 2025",1.0000,1435,1435.0000
14,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2026-03-30 11:30:01",,BT00028631,,approval_pending,PSR0G347-2025,Bridgestone,"Bridgestone 315/35 R21 111Y Dueler H/P Sport N0 2025",1.0000,1131,1131.0000
15,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2026-03-30 11:29:59",,BT00028630,,approval_pending,PSR0G347-2025,Bridgestone,"Bridgestone 315/35 R21 111Y Dueler H/P Sport N0 2025",1.0000,1131,1131.0000
16,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2026-03-30 06:15:37",,BT00028629,,approval_pending,PSR0G347-2025,Bridgestone,"Bridgestone 315/35 R21 111Y Dueler H/P Sport N0 2025",1.0000,1131,1131.0000
